bedingung,schicht,kopf,delta,p,signifikant_bh
D,8,10,-0.061500,1.000000,0
D,8,11,-0.197733,1.000000,0
D,9,0,-0.068671,1.000000,0
D,9,1,-0.074940,1.000000,0
D,9,2,0.024094,0.000800,1
D,9,3,-0.020749,1.000000,0
D,9,4,0.079491,0.000200,1
D,9,5,0.143171,0.000200,1
D,9,6,0.132014,0.000200,1
D,9,7,0.016678,0.017796,1
D,9,8,-0.086631,1.000000,0
D,9,9,-0.219762,1.000000,0
D,9,10,0.194740,0.000200,1
D,9,11,0.046083,0.000200,1
D,10,0,0.156882,0.000200,1
D,10,1,0.148860,0.000200,1
D,10,2,0.360912,0.000200,1
D,10,3,-0.128183,1.000000,0
D,10,4,-0.338912,1.000000,0
D,10,5,-0.000004,0.599280,0
D,10,6,0.089228,0.000200,1
D,10,7,0.220069,0.000200,1
D,10,8,0.137142,0.000200,1
D,10,9,-0.144412,1.000000,0
D,10,10,0.238652,0.000200,1
D,10,11,0.269268,0.000200,1
D,11,0,0.031028,0.000200,1
D,11,1,-0.026485,1.000000,0
D,11,2,-0.011661,0.992202,0
D,11,3,-0.007138,0.829634,0
D,11,4,-0.098835,1.000000,0
D,11,5,-0.070370,1.000000,0
D,11,6,-0.028718,1.000000,0
D,11,7,0.008728,0.124775,0
D,11,8,0.334174,0.000200,1
D,11,9,0.099617,0.000200,1
D,11,10,0.523773,0.000200,1
D,11,11,-0.019332,1.000000,0
